Week,Entidad,Sales_Value,TV_Impressions,YouTube_Impressions,Facebook_Impressions,Instagram_Impressions,Print_Readership,Radio_Listenership,Trade_Spend,TV_Impressions__ad,YouTube_Impressions__ad,Facebook_Impressions__ad,Instagram_Impressions__ad,Print_Readership__ad,Radio_Listenership__ad,Trade_Spend__ad,TV_Impressions__sat,YouTube_Impressions__sat,Facebook_Impressions__sat,Instagram_Impressions__sat,Print_Readership__sat,Radio_Listenership__sat,Trade_Spend__sat,Net_Price,Weighted_Distribution,CPI,GDP_Growth,Festival_Index,Rainfall_Index,Feature_Rate,Display_Rate,TPR_Rate,fourier_sin_1,fourier_cos_1,fourier_sin_2,fourier_cos_2,fourier_sin_3,fourier_cos_3
2022-07-04,BRANDA_CENTRAL,49586.72810871086,2339060.5010483824,1141677.1638231643,959314.0301811234,324266.8357827453,177525.65627596882,2238291.7183158267,36326.83779839137,2339060.5010483824,1141677.1638231643,959314.0301811234,324266.8357827453,177525.65627596882,2238291.7183158267,36326.83779839137,0.2220445297362146,0.20318975635515937,0.2722781823459905,0.19271463285517815,0.18391330027012043,0.5921664183914858,0.03491408658758564,98.67143643238126,0.3267123933939885,120.95466740671957,5.244440260058808,1.180806018100434,5.378450439975844,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
2022-07-11,BRANDA_CENTRAL,84510.33857584602,1927566.0670672138,1229816.3151459787,812780.0256566735,327241.26559486316,255984.58892113555,2146512.283904087,213276.43845013157,3331002.3676962433,1914822.6134398773,1388368.4437653474,521801.36706451036,362499.98268671683,3489487.314893583,235072.54112916638,0.32662152312785303,0.35645445097756473,0.39446177101148316,0.3276382657340924,0.3967100613943134,0.738655333165791,0.3732449879432205,98.32737148921372,0.3398410138114276,121.34885197548785,5.172291767017713,1.180806018100434,4.885889367640992,1.0,0.0,0.0,0.12053668025532305,0.992708874098054,0.23931566428755774,0.970941817426052,0.3546048870425356,0.9350162426854148
2022-07-18,BRANDA_CENTRAL,85555.77025273308,2133933.343188759,1040627.8175348705,773693.2055876241,285494.8840657365,211201.8298945356,1796309.3784878321,219095.787577237,4132534.763806505,2189521.3855987964,1606714.2718468327,598575.7043044426,428701.8195065657,3890001.767423982,360139.31225473684,0.4012933772233994,0.4037896748111924,0.44781511288592213,0.37449349006774346,0.4582011738562077,0.7688756718966991,0.5303562317323184,99.23737446543306,0.38347612119577174,121.73949318488836,5.527239885405165,1.180806018100434,4.296653881435722,1.0,0.0,0.0,0.23931566428755774,0.970941817426052,0.4647231720437685,0.8854560256532099,0.6631226582407952,0.7485107481711011
2022-07-25,BRANDA_CENTRAL,71620.16522366273,2408033.586590107,1124749.2061402877,954751.8336309064,320425.02459114825,243838.40986365848,1662432.3181387535,26328.33551591728,4887554.444874009,2438462.0374995656,1918780.3967390058,679570.4471738139,501059.5015675979,3996433.3785931426,242411.92286875937,0.46297358736023597,0.44320306985210234,0.5141825146116786,0.42003603347233487,0.5165835229503297,0.7759923645972717,0.38409464956721356,98.55753589173956,0.3990211323891732,122.12309934571188,5.895747256172325,1.180806018100434,4.9505480419084,0.0,0.0,0.0,0.3546048870425356,0.9350162426854148,0.6631226582407952,0.7485107481711011,0.8854560256532099,0.4647231720437686
2022-08-01,BRANDA_CENTRAL,80151.35604146875,2558499.885156594,1277857.8752066724,718432.5401069779,327414.82905203226,242769.28156921585,2973394.269269257,27677.730485536933,5491032.552081,2740935.0977064115,1869700.7781503815,735157.0973563206,543404.9825097746,5371254.296425141,173124.88420679254,0.5065643988988376,0.48680928201490165,0.5044694381095334,0.44900529796025873,0.5468752997703776,0.8436909694470526,0.27345921308769944,98.30004237703004,0.3939107332728467,122.49628135559898,5.440234539414631,1.180806018100434,4.373309022811477,0.0,0.0,0.0,0.4647231720437685,0.8854560256532099,0.8229838658936564,0.5680647467311559,0.992708874098054,0.120536680255323
2022-08-08,BRANDA_CENTRAL,66295.75561198131,1934229.6790417205,1090391.934149941,762777.9385135104,294356.18068133923,289658.41299007804,2342917.719722721,24726.24210354669,5228849.21029032,2734952.992773788,1884598.4054037393,735450.4390951316,615701.4024959428,5565670.297577805,128601.1726276222,0.48822004428113497,0.48599055452939405,0.5074451359471129,0.44915334865975776,0.5927666151166443,0.8505962523936246,0.19417792983137797,98.74700952096418,0.405645068258206,122.85580211978406,5.497293885188022,1.180806018100434,4.996738548302334,0.0,0.0,0.0,0.5680647467311558,0.8229838658936564,0.9350162426854148,0.35460488704253557,0.9709418174260521,-0.2393156642875575
2022-08-15,BRANDA_CENTRAL,59002.47567566516,2173593.872511492,1296072.3546394599,926093.8918481965,351823.86011271167,211760.41253321737,1976172.026802742,31488.905949620854,5310903.398685684,2937044.1503037326,2056852.9350904399,793094.1235697906,581181.254030783,5315574.205349426,108649.60952619418,0.49405716939895755,0.5127176816009663,0.5401573919027235,0.4772896451287743,0.5717182821466291,0.8416185663805477,0.1576298736275806,98.26800390341253,0.3623171832828022,123.1986237552262,6.080761710608539,1.180806018100434,5.128203723022808,0.0,0.0,0.0,0.6631226582407952,0.7485107481711011,0.992708874098054,0.120536680255323,0.8229838658936565,-0.5680647467311557
2022-08-22,BRANDA_CENTRAL,76293.86682767769,2099040.8601918463,1076596.4716610864,1334505.759347666,348769.87026698387,163663.7236595849,2564179.97134564,171337.86851470824,5285582.899403258,2838822.9618433253,2568617.5204019295,824626.3444088583,512372.4760780548,5753524.494555295,236527.63423042474,0.4922653643478911,0.4999651121381608,0.6211100191072899,0.49189539080972194,0.524941511956724,0.8568142012275594,0.375412881746609,99.10741417248563,0.3562515123264791,123.52195188978486,5.8327149112606,1.180806018100434,4.427804187286035,0.0,1.0,0.0,0.7485107481711011,0.6631226582407953,0.992708874098054,-0.12053668025532288,0.5680647467311558,-0.8229838658936564
2022-08-29,BRANDA_CENTRAL,63207.58660084089,2049922.059738554,941409.1711301787,828544.0723851646,271136.24146455224,177633.24335635215,1827159.7598629715,39558.41357040704,5181984.564955219,2625527.1559242536,2353601.7926851553,760465.6104533664,482074.9796762689,5241679.750768641,180864.84272870602,0.48484633849935993,0.470708259167129,0.5897981170422336,0.4615956685686911,0.5021051461244064,0.8387994087018039,0.28668544021858805,98.4754177478708,0.3115732991380658,123.82327641045781,5.4253842130646435,1.180806018100434,5.059122159406456,0.0,0.0,0.0,0.8229838658936564,0.5680647467311559,0.9350162426854148,-0.35460488704253545,0.23931566428755768,-0.970941817426052
2022-09-05,BRANDA_CENTRAL,101749.96049168913,7184924.523882866,913321.9203073212,3025497.6739762034,485214.1514590847,220839.02385853438,713990.421159764,197206.85387329425,10261739.554782966,2467982.0222620717,4424007.166231563,935997.1210755706,505784.45355124195,3822945.10785853,302143.53432607936,0.7239655613695518,0.4476617777397592,0.7874762467325261,0.5393190918702222,0.5200984241207731,0.764208140942185,0.46460712220389777,98.1516519400318,0.3147016253306762,124.10040806648117,5.677566983663552,3.542418054301302,4.864285130917513,1.0,0.0,0.0,0.8854560256532099,0.4647231720437686,0.8229838658936565,-0.5680647467311557,-0.12053668025532283,-0.992708874098054
